ID,NAME,MUNICIPALITY,DISTRICT,CANTON,COUNTRY
1,Aeugst am Albis,Aeugst am Albis,Bezirk Affoltern,ZH,CH
2,Aeugstertal,Aeugst am Albis,Bezirk Affoltern,ZH,CH
3,Zwillikon,Affoltern am Albis,Bezirk Affoltern,ZH,CH
4,Affoltern am Albis,Affoltern am Albis,Bezirk Affoltern,ZH,CH
5,Bonstetten,Bonstetten,Bezirk Affoltern,ZH,CH
6,Hausen am Albis,Hausen am Albis,Bezirk Affoltern,ZH,CH
7,Ebertswil,Hausen am Albis,Bezirk Affoltern,ZH,CH
8,Hedingen,Hedingen,Bezirk Affoltern,ZH,CH
9,Kappel am Albis,Kappel am Albis,Bezirk Affoltern,ZH,CH
10,Hauptikon,Kappel am Albis,Bezirk Affoltern,ZH,CH
11,Uerzlikon,Kappel am Albis,Bezirk Affoltern,ZH,CH
12,Knonau,Knonau,Bezirk Affoltern,ZH,CH
13,Maschwanden,Maschwanden,Bezirk Affoltern,ZH,CH
14,Mettmenstetten,Mettmenstetten,Bezirk Affoltern,ZH,CH
15,Obfelden,Obfelden,Bezirk Affoltern,ZH,CH
16,Ottenbach,Ottenbach,Bezirk Affoltern,ZH,CH
17,Rifferswil,Rifferswil,Bezirk Affoltern,ZH,CH
18,Stallikon,Stallikon,Bezirk Affoltern,ZH,CH
19,Uetliberg,Stallikon,Bezirk Affoltern,ZH,CH
20,Wettswil,Wettswil am Albis,Bezirk Affoltern,ZH,CH
21,Adlikon b. Andelfingen,Adlikon,Bezirk Andelfingen,ZH,CH
22,Benken ZH,Benken (ZH),Bezirk Andelfingen,ZH,CH
23,Berg am Irchel,Berg am Irchel,Bezirk Andelfingen,ZH,CH
24,Gräslikon,Berg am Irchel,Bezirk Andelfingen,ZH,CH
25,Buch am Irchel,Buch am Irchel,Bezirk Andelfingen,ZH,CH
26,Dachsen,Dachsen,Bezirk Andelfingen,ZH,CH
27,Dorf,Dorf,Bezirk Andelfingen,ZH,CH
28,Feuerthalen,Feuerthalen,Bezirk Andelfingen,ZH,CH
29,Langwiesen,Feuerthalen,Bezirk Andelfingen,ZH,CH
30,Flaach,Flaach,Bezirk Andelfingen,ZH,CH
31,Flurlingen,Flurlingen,Bezirk Andelfingen,ZH,CH
32,Andelfingen,Andelfingen,Bezirk Andelfingen,ZH,CH
33,Henggart,Henggart,Bezirk Andelfingen,ZH,CH
34,Humlikon,Humlikon,Bezirk Andelfingen,ZH,CH
35,Kleinandelfingen,Kleinandelfingen,Bezirk Andelfingen,ZH,CH
36,Alten,Kleinandelfingen,Bezirk Andelfingen,ZH,CH
37,Oerlingen,Kleinandelfingen,Bezirk Andelfingen,ZH,CH
38,Nohl,Laufen-Uhwiesen,Bezirk Andelfingen,ZH,CH
39,Uhwiesen,Laufen-Uhwiesen,Bezirk Andelfingen,ZH,CH
40,Marthalen,Marthalen,Bezirk Andelfingen,ZH,CH
41,Ellikon am Rhein,Marthalen,Bezirk Andelfingen,ZH,CH
42,Ossingen,Ossingen,Bezirk Andelfingen,ZH,CH
43,Rheinau,Rheinau,Bezirk Andelfingen,ZH,CH
44,Thalheim an der Thur,Thalheim an der Thur,Bezirk Andelfingen,ZH,CH
45,Rudolfingen,Trüllikon,Bezirk Andelfingen,ZH,CH
46,Wildensbuch,Trüllikon,Bezirk Andelfingen,ZH,CH
47,Trüllikon,Trüllikon,Bezirk Andelfingen,ZH,CH
48,Truttikon,Truttikon,Bezirk Andelfingen,ZH,CH
49,Volken,Volken,Bezirk Andelfingen,ZH,CH
50,Bachenbülach,Bachenbülach,Bezirk Bülach,ZH,CH
51,Bassersdorf,Bassersdorf,Bezirk Bülach,ZH,CH
52,Bülach,Bülach,Bezirk Bülach,ZH,CH
53,Dietlikon,Dietlikon,Bezirk Bülach,ZH,CH
54,Eglisau,Eglisau,Bezirk Bülach,ZH,CH
55,Embrach,Embrach,Bezirk Bülach,ZH,CH
56,Freienstein,Freienstein-Teufen,Bezirk Bülach,ZH,CH
57,Teufen ZH,Freienstein-Teufen,Bezirk Bülach,ZH,CH
58,Glattfelden,Glattfelden,Bezirk Bülach,ZH,CH
59,Zweidlen,Glattfelden,Bezirk Bülach,ZH,CH
60,Hochfelden,Hochfelden,Bezirk Bülach,ZH,CH
61,Höri,Höri,Bezirk Bülach,ZH,CH
62,Hüntwangen,Hüntwangen,Bezirk Bülach,ZH,CH
63,Kloten,Kloten,Bezirk Bülach,ZH,CH
64,Lufingen,Lufingen,Bezirk Bülach,ZH,CH
65,Nürensdorf,Nürensdorf,Bezirk Bülach,ZH,CH
66,Oberembrach,Oberembrach,Bezirk Bülach,ZH,CH
67,Glattbrugg,Opfikon,Bezirk Bülach,ZH,CH
68,Opfikon,Opfikon,Bezirk Bülach,ZH,CH
69,Glattpark (Opfikon),Opfikon,Bezirk Bülach,ZH,CH
70,Rafz,Rafz,Bezirk Bülach,ZH,CH
71,Rorbas,Rorbas,Bezirk Bülach,ZH,CH
72,Wallisellen,Wallisellen,Bezirk Bülach,ZH,CH
73,Wasterkingen,Wasterkingen,Bezirk Bülach,ZH,CH
74,Wil ZH,Wil (ZH),Bezirk Bülach,ZH,CH
75,Winkel,Winkel,Bezirk Bülach,ZH,CH
