INFO,BFS:REPORTINGMUNICIPALITYID,LOC:NAME,COMMENT
SAME_NAME,176,Lindau,
UNIQUE,4261,Wallbach,
SAME_NAME,6621,Genève,
UNIQUE,6607,Bernex,
SAME_NAME,158,Stäfa,
UNIQUE,6608,Carouge GE,
SAME_NAME,4080,Villmergen,
SAME_NAME,4821,Hüttwilen,
UNIQUE,3782,Celerina/Schlarigna,
UNIQUE,1054,Ebikon,
SAME_NAME,6643,Vernier,
UNIQUE,4092,Birr,
UNIQUE,6623,Le Grand-Saconnex,
UNIQUE,5120,Muralto,
SAME_NAME,6709,Courroux,
UNIQUE,6455,Le Landeron,
PLACE_OF_ORIGIN_NAME,5236,Montagnola,
UNIQUE,700,Moutier,
PLACE_OF_ORIGIN_NAME,6730,Vicques,
SAME_NAME,3832,Grono,
UNIQUE,261,Zürich,
SAME_NAME,6007,Naters,
UNIQUE,2534,Zuchwil,
SAME_NAME,1214,Seedorf UR,
SAME_NAME,141,Thalwil,
SAME_NAME,5113,Locarno,
UNIQUE,2701,Basel,
UNIQUE,2481,Witterswil,
SAME_NAME,5192,Lugano,
SAME_NAME,4471,Bischofszell,
UNIQUE,2767,Bottmingen,
PLACE_OF_ORIGIN_NAME,4486,Wilen (Gottshaus),
UNIQUE,2834,Ziefen,
SAME_NAME,3901,Chur,
UNIQUE,6781,Coeuve,
UNIQUE,6644,Versoix,
SAME_NAME,5586,Lausanne,
SAME_NAME,6630,Meyrin,
UNIQUE,6617,Cologny,
UNIQUE,6625,Hermance,
UNIQUE,6642,Vandoeuvres,
SAME_NAME,6616,Collonge-Bellerive,
UNIQUE,6606,Bellevue,
PLACE_OF_ORIGIN_NAME,6628,Grand-Lancy,
SAME_NAME,843,Saanen,
SAME_NAME,2939,Schaffhausen,
UNIQUE,371,Biel/Bienne,
PLACE_OF_ORIGIN_ID,3941,Haldenstein,
UNIQUE,5724,Nyon,
UNIQUE,5713,Crans VD,
UNIQUE,6602,Anières,
UNIQUE,6633,Plan-les-Ouates,
UNIQUE,6613,Chêne-Bourg,
PLACE_OF_ORIGIN_NAME,5409,Ollon VD,
UNIQUE,102,Weiach,
SAME_NAME,6645,Veyrier,
UNIQUE,6631,Onex,
UNIQUE,5514,Bottens,
PLACE_OF_ORIGIN_NAME,5568,Ste-Croix,
UNIQUE,6639,Soral,
UNIQUE,6618,Confignon,
UNIQUE,6640,Thônex,
UNIQUE,6614,Choulex,
UNIQUE,6611,Chancy,
UNIQUE,5456,Cudrefin,
PLACE_OF_ORIGIN_NAME,5613,Grandvaux,
UNIQUE,3787,St. Moritz,
SAME_NAME,295,Horgen,
SAME_NAME,5886,Montreux,
PLACE_OF_ORIGIN_NAME,6217,St-Maurice,
SAME_NAME,4001,Aarau,
PLACE_OF_ORIGIN_ID,5478,Cottens VD,
SAME_NAME,979,Herzogenbuchsee,
SAME_NAME,4566,Frauenfeld,
UNIQUE,2206,Marly,
SAME_NAME,4008,Küttigen,
UNIQUE,351,Bern,
SAME_NAME,942,Thun,
UNIQUE,2517,Derendingen,
UNIQUE,5196,Massagno,
SAME_NAME,3444,Waldkirch,
UNIQUE,3203,St. Gallen,
UNIQUE,2601,Solothurn,
SAME_NAME,3427,Wil SG,
SAME_NAME,66,Opfikon,
UNIQUE,546,Münchenbuchsee,
UNIQUE,1061,Luzern,
PLACE_OF_ORIGIN_NAME,356,Muri b. Bern,
UNIQUE,6451,Cornaux NE,
SAME_NAME,161,Zollikon,
SAME_NAME,1704,Menzingen,
PLACE_OF_ORIGIN_ID,6031,Le Châble VS,See placeOfOriginID=6037/placeOfOriginName=Val de Bagnes
SAME_NAME,362,Ittigen,
UNIQUE,2542,Bellach,
SAME_NAME,1058,Horw,
SAME_NAME,4063,Bremgarten AG,
SAME_NAME,1024,Emmen,
UNIQUE,56,Embrach,
SAME_NAME,4082,Wohlen AG,
UNIQUE,5624,Bussigny,
SAME_NAME,5606,Lutry,
UNIQUE,151,Erlenbach ZH,
UNIQUE,6771,Alle,
UNIQUE,245,Oberengstringen,
