INFO,BFS:ORIGINNAME1,BFS:PLACEOFORIGINID1,NS1:PLACEOFORIGINNAME,NS1:PLACEOFORIGINID,NS1:CANTONABBREVIATION,LOC:NAME,LOC:CANTON,COMMENT
FULL_MATCH,Valeyres-sous-Montagny,5933,Valeyres-sous-Montagny,5933,VD,Valeyres-sous-Montagny,VD,
FULL_MATCH,Zürich,261,Zürich,261,ZH,Zürich,ZH,
FULL_MATCH,Hallwil,4197,Hallwil,4197,AG,Hallwil,AG,
FULL_MATCH,Uezwil,4078,Uezwil,4078,AG,Uezwil,AG,
FULL_MATCH,Madulain,3783,Madulain,3783,GR,Madulain,GR,
FULL_MATCH,St. Moritz,3787,St. Moritz,3787,GR,St. Moritz,GR,
FULL_MATCH,Obersiggenthal,4038,Obersiggenthal,4038,AG,Nussbaumen AG,AG,
FULL_MATCH,Mesocco,3822,Mesocco,3822,GR,Mesocco,GR,
FULL_MATCH,Scuol,3762,Scuol,3762,GR,Scuol,GR,
FULL_MATCH,Basel,2701,Basel,2701,BS,Basel,BS,
FULL_MATCH,Lugano,5192,Lugano,5192,TI,Lugano,TI,
FULL_MATCH,Appenzell,3101,Appenzell,3101,AI,Appenzell,AI,
FULL_MATCH,Beurnevésin,6773,Beurnevésin,6773,BE,Beurnevésin,JU,
FULL_MATCH,Versoix,6644,Versoix,6644,GE,Versoix,GE,
FULL_MATCH,Mümliswil-Ramiswil,2428,Mümliswil-Ramiswil,2428,SO,Mümliswil,SO,
FULL_MATCH,Schüpfen,311,Schüpfen,311,BE,Schüpfen,BE,
FULL_MATCH,Goumoëns,5541,Goumoëns,5541,VD,Goumoens-la-Ville,VD,
FULL_MATCH,Sullens,5501,Sullens,5501,VD,Sullens,VD,
FULL_MATCH,Vernier,6643,Vernier,6643,GE,Vernier,GE,
FULL_MATCH,Fribourg,2196,Fribourg,2196,FR,Fribourg,FR,
FULL_MATCH,Genève,6621,Genève,6621,GE,Genève,GE,
FULL_MATCH,Le Grand-Saconnex,6623,Le Grand-Saconnex,6623,GE,Le Grand-Saconnex,GE,
FULL_MATCH,Puidoux,5607,Puidoux,5607,VD,Puidoux,VD,
UNIQUE_ID_MATCH,Mons,7328,Albula/Alvra (Mon),7328,GR,Mon,GR,
FULL_MATCH,Chêne-Bourg,6613,Chêne-Bourg,6613,GE,Chêne-Bourg,GE,
FULL_MATCH,Villars-le-Terroir,5537,Villars-le-Terroir,5537,VD,Villars-le-Terroir,VD,
FULL_MATCH,Biel/Bienne,371,Biel/Bienne,371,BE,Biel/Bienne,BE,
FULL_MATCH,Denens,5631,Denens,5631,VD,Denens,VD,
FULL_MATCH,Chêne-Pâquier,5908,Chêne-Pâquier,5908,VD,Chêne-Pâquier,VD,
FULL_MATCH,Grandson,5561,Grandson,5561,VD,Grandson,VD,
FULL_MATCH,Jaun,2138,Jaun,2138,FR,Jaun,FR,
FULL_MATCH,Yens,5655,Yens,5655,VD,Yens,VD,
FULL_MATCH,Ollon,5409,Ollon,5409,VD,Ollon VD,VD,
FULL_MATCH,Leysin,5407,Leysin,5407,VD,Leysin,VD,
FULL_MATCH,Lausanne,5586,Lausanne,5586,VD,Lausanne,VD,
FULL_MATCH,L'Isle,5486,L'Isle,5486,VD,L'Isle,VD,
FULL_MATCH,Villarzel,5830,Villarzel,5830,VD,Villarzel,VD,
FULL_MATCH_WITHOUT_CANTON_SUFFIX,Onnens (VD),5565,Onnens,5565,VD,Onnens VD,VD,
FULL_MATCH,Essertes,5788,Essertes,5788,VD,Essertes,VD,
FULL_MATCH,Onex,6631,Onex,6631,GE,Onex,GE,
FULL_MATCH,Monthey,6153,Monthey,6153,VS,Monthey,VS,
FULL_MATCH_WITHOUT_CANTON_SUFFIX,Carouge (GE),6608,Carouge,6608,GE,Carouge GE,GE,
FULL_MATCH,Schänis,3315,Schänis,3315,SG,Schänis,SG,
FULL_MATCH,Essertines-sur-Yverdon,5520,Essertines-sur-Yverdon,5520,VD,Essertines-sur-Yverdon,VD,
FULL_MATCH,Le Lieu,5873,Le Lieu,5873,VD,Le Lieu,VD,
FULL_MATCH,Pampigny,5494,Pampigny,5494,VD,Pampigny,VD,
FULL_MATCH,Siviriez,2099,Siviriez,2099,FR,Siviriez,FR,
FULL_MATCH,Gilly,5857,Gilly,5857,VD,Gilly,VD,
FULL_MATCH,Val-d'Illiez,6157,Val-d'Illiez,6157,VS,Val-d'Illiez,VS,
FULL_MATCH,Bolligen,352,Bolligen,352,BE,Bolligen,BE,
FULL_MATCH,Sorens,2153,Sorens,2153,FR,Sorens,FR,
FULL_MATCH,Romont,2096,Romont,2096,FR,Romont FR,FR,
FULL_MATCH,La Roche,2149,La Roche,2149,FR,La Roche FR,FR,
SUCCESSOR_MATCH,Marbach,1010,Marbach,1006,LU,Marbach LU,LU,
FULL_MATCH,Döttingen,4304,Döttingen,4304,AG,Döttingen,AG,
FULL_MATCH,Bottens,5514,Bottens,5514,VD,Bottens,VD,
FULL_MATCH,Bern,351,Bern,351,BE,Bern,BE,
FULL_MATCH,Thun,942,Thun,942,BE,Thun,BE,
FULL_MATCH,Massagno,5196,Massagno,5196,TI,Massagno,TI,
FULL_MATCH,Solothurn,2601,Solothurn,2601,SO,Solothurn,SO,
FULL_MATCH,Adelboden,561,Adelboden,561,BE,Adelboden,BE,
FULL_MATCH,Isenthal,1211,Isenthal,1211,UR,Isenthal,UR,
FULL_MATCH,Emmen,1024,Emmen,1024,LU,Emmen,LU,
FULL_MATCH,Kriens,1059,Kriens,1059,LU,Kriens,LU,
FULL_MATCH,Renens,5591,Renens,5591,VD,Renens VD,VD,
FULL_MATCH,Pfäffikon,177,Pfäffikon,177,ZH,Pfäffikon ZH,ZH,
FULL_MATCH,Hüntwangen,61,Hüntwangen,61,ZH,Hüntwangen,ZH,
FULL_MATCH,Bachs,81,Bachs,81,ZH,Bachs,ZH,
FULL_MATCH,Sursee,1103,Sursee,1103,LU,Sursee,LU,
FULL_MATCH,Bischofszell,4471,Bischofszell,4471,TG,Bischofszell,TG,
FULL_MATCH,Grenchen,2546,Grenchen,2546,SO,Grenchen,SO,
FULL_MATCH,Birrwil,4132,Birrwil,4132,AG,Birrwil,AG,
FULL_MATCH,Nuglar-St. Pantaleon,2478,Nuglar-St. Pantaleon,2478,SO,Nuglar,SO,
FULL_MATCH,Küttigen,4008,Küttigen,4008,AG,Küttigen,AG,
FULL_MATCH,Hasliberg,783,Hasliberg,783,BE,Hasliberg Hohfluh,BE,
FULL_MATCH,Elgg,294,Elgg,294,ZH,Elgg,ZH,
FULL_MATCH,Les Montets,2050,Les Montets,2050,FR,Aumont,FR,
FULL_MATCH,Aubonne,5422,Aubonne,5422,VD,Aubonne,VD,
FULL_MATCH,Sargans,3296,Sargans,3296,SG,Sargans,SG,
FULL_MATCH,Schwarzenburg,855,Schwarzenburg,855,BE,Schwarzenburg,BE,
FULL_MATCH,Meilen,156,Meilen,156,ZH,Meilen,ZH,
FULL_MATCH,Beringen,2932,Beringen,2932,SH,Beringen,SH,
FULL_MATCH,Buchs,3271,Buchs,3271,SG,Buchs SG,SG,
FULL_MATCH,Sevelen,3275,Sevelen,3275,SG,Sevelen,SG,
FULL_MATCH,Oberrohrdorf,4037,Oberrohrdorf,4037,AG,Oberrohrdorf,AG,
FULL_MATCH_WITHOUT_CANTON_SUFFIX,Kilchberg (ZH),135,Kilchberg,135,ZH,Kilchberg ZH,ZH,
FULL_MATCH,Mettmenstetten,9,Mettmenstetten,9,ZH,Mettmenstetten,ZH,
FULL_MATCH,Hüttwilen,4821,Hüttwilen,4821,TG,Hüttwilen,TG,
FULL_MATCH,Oeschgen,4175,Oeschgen,4175,AG,Oeschgen,AG,
FULL_MATCH,Schupfart,4259,Schupfart,4259,AG,Schupfart,AG,
FULL_MATCH,Oberriet,3254,Oberriet,3254,SG,Oberriet SG,SG,
FULL_MATCH,Frauenfeld,4566,Frauenfeld,4566,TG,Frauenfeld,TG,
