LOC:INFO,LOC:NAME,LOC:CANTON,NS1:PLACEOFORIGINNAME,NS1:CANTONABBREVIATION,NS1:PLACEOFORIGINID,NS1:SUCCESSORID,NS1:HISTORYMUNICIPALITYID,NS1:VALIDFROM,NS1:VALIDTO,COMMENT
SUCCESSOR,Aeugst am Albis,ZH,Aeugst,ZH,1,1,11348,,31.12.1975,See placeOfOriginID=1/placeOfOriginName=Aeugst am Albis
NAME,Aeugst am Albis,ZH,Aeugst am Albis,ZH,1,,13256,01.01.1976,,
NAME,Affoltern am Albis,ZH,Affoltern am Albis,ZH,2,,11742,,,
NAME,Bonstetten,ZH,Bonstetten,ZH,3,,11801,,,
NAME,Hausen am Albis,ZH,Hausen am Albis,ZH,4,,11992,,,
NAME,Hedingen,ZH,Hedingen,ZH,5,,12249,,,
NAME,Kappel am Albis,ZH,Kappel am Albis,ZH,6,,12671,,,
NAME,Knonau,ZH,Knonau,ZH,7,,12674,,,
NAME,Maschwanden,ZH,Maschwanden,ZH,8,,12738,,,
NAME,Mettmenstetten,ZH,Mettmenstetten,ZH,9,,12433,,,
NAME,Obfelden,ZH,Obfelden,ZH,10,,12497,,,
NAME,Ottenbach,ZH,Ottenbach,ZH,11,,13124,,,
NAME,Rifferswil,ZH,Rifferswil,ZH,12,,12891,,,
NAME,Stallikon,ZH,Stallikon,ZH,13,,10575,,,
NAME,Wettswil,ZH,Wettswil,ZH,14,14,11349,,31.12.1975,
MANUAL,Wettswil,ZH,Wettswil am Albis,ZH,14,,13255,01.01.1976,,
MANUAL,Adlikon b. Andelfingen,ZH,Adlikon,ZH,21,,11735,,,
NAME,Benken ZH,ZH,Benken,ZH,22,,11862,,,
NAME,Berg am Irchel,ZH,Berg am Irchel,ZH,23,,11855,,,
NAME,Buch am Irchel,ZH,Buch am Irchel,ZH,24,,15513,,,
NAME,Dachsen,ZH,Dachsen,ZH,25,,11573,,,
NAME,Dorf,ZH,Dorf,ZH,26,,12182,,,
NAME,Feuerthalen,ZH,Feuerthalen,ZH,27,,11973,,,
NAME,Flaach,ZH,Flaach,ZH,28,,11997,,,
NAME,Flurlingen,ZH,Flurlingen,ZH,29,,11935,,,
SUCCESSOR,Andelfingen,ZH,Grossandelfingen,ZH,30,30,11197,,31.12.1969,See placeOfOriginID=30/placeOfOriginName=Andelfingen
NAME,Andelfingen,ZH,Andelfingen,ZH,30,,13214,01.01.1970,,
NAME,Henggart,ZH,Henggart,ZH,31,,12240,,,
NAME,Humlikon,ZH,Humlikon,ZH,32,,12173,,,
NAME,Kleinandelfingen,ZH,Kleinandelfingen,ZH,33,,12699,,,
NAME_SUFFIX,Uhwiesen,ZH,Laufen-Uhwiesen,ZH,34,,12635,,,
NAME,Marthalen,ZH,Marthalen,ZH,35,,12742,,,
NAME,Oberstammheim,ZH,Oberstammheim,ZH,36,292,12457,,31.12.2018,
NAME,Ossingen,ZH,Ossingen,ZH,37,,13128,,,
NAME,Rheinau,ZH,Rheinau,ZH,38,,12912,,,
NAME,Thalheim an der Thur,ZH,Thalheim an der Thur,ZH,39,,10563,,,
NAME,Trüllikon,ZH,Trüllikon,ZH,40,,10898,,,
NAME,Truttikon,ZH,Truttikon,ZH,41,,10899,,,
NAME,Unterstammheim,ZH,Unterstammheim,ZH,42,292,10845,,31.12.2018,
NAME,Volken,ZH,Volken,ZH,43,,10365,,,
NAME,Waltalingen,ZH,Waltalingen,ZH,44,292,10467,,31.12.2018,
NAME,Bachenbülach,ZH,Bachenbülach,ZH,51,,11683,,,
NAME,Bassersdorf,ZH,Bassersdorf,ZH,52,,11685,,,
NAME,Bülach,ZH,Bülach,ZH,53,,11461,,,
NAME,Dietlikon,ZH,Dietlikon,ZH,54,,11563,,,
NAME,Eglisau,ZH,Eglisau,ZH,55,,12168,,,
SUCCESSOR,Embrach,ZH,Unterembrach,ZH,56,56,,,31.12.1930,See placeOfOriginID=56/placeOfOriginName=Embrach
NAME,Embrach,ZH,Embrach,ZH,56,,12292,01.01.1931,,
NAME,Freienstein,ZH,Freienstein,ZH,57,57,,,31.12.1957,
NAME_PREFIX,Freienstein,ZH,Freienstein-Teufen,ZH,57,,11960,01.01.1958,,
NAME,Glattfelden,ZH,Glattfelden,ZH,58,,12056,,,
NAME,Hochfelden,ZH,Hochfelden,ZH,59,,12166,,,
NAME,Höri,ZH,Höri,ZH,60,,12220,,,
NAME,Hüntwangen,ZH,Hüntwangen,ZH,61,,12178,,,
NAME,Kloten,ZH,Kloten,ZH,62,,12673,,,
NAME,Lufingen,ZH,Lufingen,ZH,63,,12720,,,
NAME,Nürensdorf,ZH,Nürensdorf,ZH,64,,12547,,,
NAME,Oberembrach,ZH,Oberembrach,ZH,65,,12524,,,
NAME,Opfikon,ZH,Opfikon,ZH,66,,12483,,,
NAME,Rafz,ZH,Rafz,ZH,67,,13090,,,
NAME,Rorbas,ZH,Rorbas,ZH,68,,12919,,,
NAME,Wallisellen,ZH,Wallisellen,ZH,69,,10451,,,
NAME,Wasterkingen,ZH,Wasterkingen,ZH,70,,10443,,,
NAME,Wil ZH,ZH,Wil,ZH,71,,10268,,,
NAME,Winkel,ZH,Winkel,ZH,72,,10331,,,
NAME,Bachs,ZH,Bachs,ZH,81,,11704,,,
NAME,Boppelsen,ZH,Boppelsen,ZH,82,,11786,,,
NAME,Buchs ZH,ZH,Buchs,ZH,83,,11456,,,
NAME,Dällikon,ZH,Dällikon,ZH,84,,11578,,,
NAME,Dänikon ZH,ZH,Dänikon,ZH,85,,11581,,,
NAME,Dielsdorf,ZH,Dielsdorf,ZH,86,,11567,,,
NAME,Hüttikon,ZH,Hüttikon,ZH,87,,12181,,,
NAME,Neerach,ZH,Neerach,ZH,88,,12537,,,
NAME,Niederglatt ZH,ZH,Niederglatt,ZH,89,,12534,,,
NAME,Niederhasli,ZH,Niederhasli,ZH,90,,12560,,,
NAME,Niederweningen,ZH,Niederweningen,ZH,91,,12568,,,
NAME,Oberglatt ZH,ZH,Oberglatt,ZH,92,,12469,,,
NAME,Oberweningen,ZH,Oberweningen,ZH,93,,12447,,,
NAME,Otelfingen,ZH,Otelfingen,ZH,94,,13126,,,
NAME,Regensberg,ZH,Regensberg,ZH,95,,13166,,,
NAME,Regensdorf,ZH,Regensdorf,ZH,96,,13168,,,
NAME,Rümlang,ZH,Rümlang,ZH,97,,12834,,,
NAME,Schleinikon,ZH,Schleinikon,ZH,98,,13046,,,
NAME,Schöfflisdorf,ZH,Schöfflisdorf,ZH,99,,13037,,,
MANUAL,Stadel b. Niederglatt,ZH,Stadel,ZH,100,,10383,,,mehrere Orte
NAME,Steinmaur,ZH,Steinmaur,ZH,101,,10597,,,
NAME,Weiach,ZH,Weiach,ZH,102,,10448,,,
NAME,Bäretswil,ZH,Bäretswil,ZH,111,,11709,,,
NAME,Bubikon,ZH,Bubikon,ZH,112,,11478,,,
NAME,Dürnten,ZH,Dürnten,ZH,113,,12159,,,
NAME,Fischenthal,ZH,Fischenthal,ZH,114,,12002,,,
NAME,Gossau ZH,ZH,Gossau,ZH,115,,12023,,,
NAME,Grüningen,ZH,Grüningen,ZH,116,,11970,,,
NAME,Hinwil,ZH,Hinwil,ZH,117,,12156,,,
NAME,Rüti ZH,ZH,Rüti,ZH,118,,12883,,,
MANUAL,Aathal-Seegräben,ZH,Seegräben,ZH,119,,12951,,,
NAME,Wald ZH,ZH,Wald,ZH,120,,10459,,,
NAME,Wetzikon ZH,ZH,Wetzikon,ZH,121,,10277,,,
NAME,Adliswil,ZH,Adliswil,ZH,131,,11745,,,
NAME,Hirzel,ZH,Hirzel,ZH,132,295,12160,,31.12.2017,
NAME,Horgen,ZH,Horgen,ZH,133,295,12203,,31.12.2017,
NAME,Hütten,ZH,Hütten,ZH,134,293,12180,,31.12.2018,
NAME,Kilchberg ZH,ZH,Kilchberg,ZH,135,,12701,,,
NAME,Langnau am Albis,ZH,Langnau am Albis,ZH,136,,12637,,,
NAME,Oberrieden,ZH,Oberrieden,ZH,137,,12461,,,
NAME,Richterswil,ZH,Richterswil,ZH,138,,12907,,,
NAME,Rüschlikon,ZH,Rüschlikon,ZH,139,,12832,,,
NAME,Schönenberg ZH,ZH,Schönenberg,ZH,140,293,13020,,31.12.2018,
NAME,Thalwil,ZH,Thalwil,ZH,141,,10691,,,
NAME,Wädenswil,ZH,Wädenswil,ZH,142,293,10455,,31.12.2018,
NAME,Erlenbach ZH,ZH,Erlenbach,ZH,151,,12301,,,
NAME,Herrliberg,ZH,Herrliberg,ZH,152,,12316,,,
NAME,Hombrechtikon,ZH,Hombrechtikon,ZH,153,,12143,,,
NAME,Küsnacht ZH,ZH,Küsnacht,ZH,154,,12592,,,
NAME,Männedorf,ZH,Männedorf,ZH,155,,12754,,,
NAME,Meilen,ZH,Meilen,ZH,156,,12408,,,
NAME,Oetwil am See,ZH,Oetwil am See,ZH,157,,12501,,,
NAME,Stäfa,ZH,Stäfa,ZH,158,,10363,,,
SUCCESSOR,Uetikon am See,ZH,Uetikon,ZH,159,159,11342,,31.12.1976,See placeOfOriginID=159/placeOfOriginName=Uetikon am See
NAME,Uetikon am See,ZH,Uetikon am See,ZH,159,,13259,01.01.1977,,
NAME,Zumikon,ZH,Zumikon,ZH,160,,10326,,,
