TYPE,LOCATION,LAYER,TOKENS
Maxner,Bonstetten,TEST_A,5
Maxner,Obfelden,TEST_A,7
Maxner,Winterthur,TEST_B,6
Grittner,Oberrindal,TEST_A,6
Grittner,Oberrindal,TEST_B,18
Grittner,Winterthur,TEST_A,7
Grittner,Winterthur,TEST_B,21
Grittner,Bronschhofen,TEST_A,9
Grittner,Bronschhofen,TEST_B,12
Kasbohrer,Luzern,TEST_A,4
Kasbohrer,Luzern,TEST_B,15
Hintermann,Ferden,TEST_A,4
Zollikofer,Moosseedorf,TEST_A,8
Zollikofer,Moosseedorf,TEST_B,19
Rundlich,Chur,TEST_A,5
Rundlich,Chur,TEST_B,17
Freundlich,Bauma,TEST_A,2
Freundlich,Bauma,TEST_B,13
Freundlich,Winterthur,TEST_B,5
Grand,Pully,TEST_A,9
Grand,Pully,TEST_B,20
