Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;2679435.817;1235653.185;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;2679815.475;1237410.215;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;2675104.519;1237890.488;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;2676439.358;1236966.371;de
Bonstetten;8906;0;Bonstetten;3;ZH;2677798.571;1241024.843;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;2682996.334;1232961.650;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;2684168.704;1231176.639;de
Hedingen;8908;0;Hedingen;5;ZH;2676518.511;1239054.300;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;2682261.569;1231284.424;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;2680023.421;1231589.698;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;2680340.966;1230665.100;de
Knonau;8934;0;Knonau;7;ZH;2677402.530;1230821.895;de
Maschwanden;8933;0;Maschwanden;8;ZH;2674785.638;1232061.104;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;2677613.728;1232937.775;de
Obfelden;8912;0;Obfelden;10;ZH;2674501.570;1235213.694;de
Ottenbach;8913;0;Ottenbach;11;ZH;2673060.190;1237324.410;de
Rifferswil;8911;0;Rifferswil;12;ZH;2680092.764;1233046.147;de
Stallikon;8143;0;Stallikon;13;ZH;2679551.152;1242199.329;de
Uetliberg;8143;2;Stallikon;13;ZH;2679542.219;1244824.958;de
Wettswil;8907;0;Wettswil am Albis;14;ZH;2678321.275;1243534.577;de
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;2694310.927;1271012.841;de
Benken ZH;8463;0;Benken (ZH);22;ZH;2691310.510;1278717.046;de
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;2687249.230;1269506.088;de
Gräslikon;8415;1;Berg am Irchel;23;ZH;2687807.944;1268052.982;de
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;2689123.459;1267147.904;de
Dachsen;8447;0;Dachsen;25;ZH;2688270.151;1280253.563;de
Dorf;8458;0;Dorf;26;ZH;2690995.859;1269698.759;de
Feuerthalen;8245;0;Feuerthalen;27;ZH;2690270.719;1282950.165;de
Langwiesen;8246;0;Feuerthalen;27;ZH;2691950.484;1282201.614;de
Flaach;8416;0;Flaach;28;ZH;2687597.751;1269830.651;de
Flurlingen;8247;0;Flurlingen;29;ZH;2689293.005;1282181.554;de
Andelfingen;8450;0;Andelfingen;30;ZH;2693252.733;1272313.463;de
