TOKENS;BFS:ORIGINNAME1;BFS:PLACEOFORIGINID1;NS1:PLACEOFORIGINNAME;NS1:PLACEOFORIGINID;COMMENT
344;Jorat-Mézières;5806;Jorat-Mézières (Mézières);7133;andere Nr.
82;Le Bémont JU;6741;Le Bémont;6741;
33;Les Genevez JU;6748;Les Genevez;6748;
30;Bussigny-près-Laus;5624;Bussigny-près-Lausanne;5624;
21;Lajoux JU;6750;Lajoux;6750;
18;La Verrerie (Le Crêt);7313;La Verrerie;2338;andere Nr.
18;Le Crêt;7313;La Verrerie;2338;andere Nr.
15;Martigny, Martigny-Combe;6136;Martigny;6136;6137 Martigny-Combe
13;Les  Genevez (JU);6748;Les Genevez;6748;
11;Schleins;3987;Schleins;3753;3987 -> 3984 Schlans ?
10;Reichenbach i. K.;567;Reichenbach im Kandertal;567;
10;Rudolfstetten-Friedlisb.;4075;Rudolfstetten-Friedlisberg;4075;
8;Medel/Lucmagn;3983;Medel (Lucmagn);3983;
8;Neuhausen-Rheinf.;2937;Neuhausen am Rheinfall;2937;
8;Sales;2152;Sâles;2152;
7;Châtillon JU;6704;Châtillon;6704;
6;Domat-Ems;3722;Domat/Ems;3722;
6;Rüthi SG;3256;Rüthi;3256;bis 1994 offiziell Rüthi (Rheintal) genannt
5;Courtetelle;6710;Courtételle;6710;
5;Noirmont, Le;6754;Le Noirmont;6754;
4;Bosco Gurin;5304;Bosco/Gurin;5304;
4;Muntogna da Schons;3705;Donat;3705;3715 Muntogna da Schons
3;Beinwil (Freiamt) AG;4224;Beinwil (Freiamt);4224;Bis Ende 1950 hiess die Gemeinde Beinwil bei Muri.
3;Chaux-des-Breuleux;6744;La Chaux-des-Breuleux;6744;
3;Freienstein Teufen;57;Freienstein-Teufen;57;
3;Le Bemont;6741;Le Bémont;6741;
3;Medel Lucmagn;3983;Medel (Lucmagn);3983;
3;Muntogna da Schons (Donat);3705;Donat;3705;3715 Muntogna da Schons
3;Reichenbach i. Kandertal;567;Reichenbach im Kandertal;567;
3;Reichenbach im Kandertal BE;567;Reichenbach im Kandertal;567;
2;Chapelle/Glâne;2066;Chapelle (Glâne);2066;
2;Chene-Paquier;5908;Chêne-Pâquier;5908;
2;La Chaux Des Breuleux;6744;La Chaux-des-Breuleux;6744;
2;Medel-Lucmagn;3983;Medel (Lucmagn);3983;
2;Mustér;3982;Disentis/Mustér;3982;
2;Neuhausen a/Rheinfall;2937;Neuhausen am Rheinfall;2937;
2;Reichenbach i.K.;567;Reichenbach im Kandertal;567;
2;Roggenburg BL;2790;Roggenburg;2790;
2;Rühti;3256;Rüthi;3256;bis 1994 offiziell Rüthi (Rheintal) genannt
2;Wettswil A. Albis;14;Wettswil am Albis;14;
1;2852 Courtetelle;6710;Courtételle;6710;
1;Aesch ZH;241;Aesch;241;bis 2001 offiziell Aesch bei Birmensdorf genannt
1;Arzier-Le-Muids;5702;Arzier-Le Muids;5702;Bis zum 30. April 2014 hiess die Gemeinde offiziell Arzier.
1;Bad Ragaz SG;3291;Bad Ragaz;3291;bis 1937 Ragaz
1;Bémont;6741;Le Bémont;6741;
1;Beromüster;1081;Beromünster;1081;
1;Brüttisellen;200;Wangen-Brüttisellen;200;
1;Bussigny-Pres-Lausanne;5624;Bussigny-près-Lausanne;5624;
1;Bussigny-Pres-Lsane;5624;Bussigny-près-Lausanne;5624;
1;Capriasca TI;5226;Capriasca;5226;
1;Delemont;6711;Delémont;6711;
1;Disentis-Mustér;3982;Disentis/Mustér;3982;
1;Disentis/Muster;3982;Disentis/Mustér;3982;
1;Genevez;6748;Les Genevez;6748;
1;Martigny,  Martigny-Combe;6136;Martigny;6136;6137 Martigny-Combe
1;Moeriken - Wildegg;4203;Möriken-Wildegg;4203;
1;Rudolfstetten-Friedl.;4075;Rudolfstetten-Friedlisberg;4075;
1;Ruethi;3256;Rüthi;3256;bis 1994 offiziell Rüthi (Rheintal) genannt
1;Saas  Grund;6291;Saas Grund;6291;
1;Saas Almaggel;6288;Saas-Almagell;6288;
1;Saas-Allmagell;6288;Saas-Almagell;6288;
1;Schönbühl-Urtenen;551;Urtenen-Schönbühl;551;
1;Segl;3789;Sils im Engadin/Segl;3789;
1;Tujetsch,;3986;Tujetsch;3986;
1;Wettswil am Ablis;14;Wettswil am Albis;14;
1;Wünnewil-Flamat;2309;Wünnewil-Flamatt;2309;
1;Yverdon Les Bains;5938;Yverdon-les-Bains;5938;
