"ns1:validTo";"ns1:placeOfOriginId";"ns1:historyMunicipalityId";"ns1:placeOfOriginName";"ns1:cantonAbbreviation";"ns1:successorId";"ns1:validFrom"
31.12.1975;1;11348;"Aeugst";"ZH";1;
;1;13256;"Aeugst am Albis";"ZH";;01.01.1976
;2;11742;"Affoltern am Albis";"ZH";;
;3;11801;"Bonstetten";"ZH";;
;4;11992;"Hausen am Albis";"ZH";;
;5;12249;"Hedingen";"ZH";;
;6;12671;"Kappel am Albis";"ZH";;
;7;12674;"Knonau";"ZH";;
;8;12738;"Maschwanden";"ZH";;
;9;12433;"Mettmenstetten";"ZH";;
;10;12497;"Obfelden";"ZH";;
;11;13124;"Ottenbach";"ZH";;
;12;12891;"Rifferswil";"ZH";;
;13;10575;"Stallikon";"ZH";;
31.12.1975;14;11349;"Wettswil";"ZH";14;
;14;13255;"Wettswil am Albis";"ZH";;01.01.1976
;21;11735;"Adlikon";"ZH";;
;22;11862;"Benken";"ZH";;
;23;11855;"Berg am Irchel";"ZH";;
;24;15513;"Buch am Irchel";"ZH";;
;25;11573;"Dachsen";"ZH";;
;26;12182;"Dorf";"ZH";;
;27;11973;"Feuerthalen";"ZH";;
;28;11997;"Flaach";"ZH";;
;29;11935;"Flurlingen";"ZH";;
31.12.1969;30;11197;"Grossandelfingen";"ZH";30;
;30;13214;"Andelfingen";"ZH";;01.01.1970
;31;12240;"Henggart";"ZH";;
;32;12173;"Humlikon";"ZH";;
;33;12699;"Kleinandelfingen";"ZH";;
;34;12635;"Laufen-Uhwiesen";"ZH";;
;35;12742;"Marthalen";"ZH";;
31.12.2018;36;12457;"Oberstammheim";"ZH";292;
;37;13128;"Ossingen";"ZH";;
;38;12912;"Rheinau";"ZH";;
;39;10563;"Thalheim an der Thur";"ZH";;
;40;10898;"Trüllikon";"ZH";;
;41;10899;"Truttikon";"ZH";;
31.12.2018;42;10845;"Unterstammheim";"ZH";292;
;43;10365;"Volken";"ZH";;
31.12.2018;44;10467;"Waltalingen";"ZH";292;
;51;11683;"Bachenbülach";"ZH";;
;52;11685;"Bassersdorf";"ZH";;
;53;11461;"Bülach";"ZH";;
;54;11563;"Dietlikon";"ZH";;
;55;12168;"Eglisau";"ZH";;
31.12.1930;56;;"Unterembrach";"ZH";56;
;56;12292;"Embrach";"ZH";;01.01.1931
31.12.1957;57;;"Freienstein";"ZH";57;
;57;11960;"Freienstein-Teufen";"ZH";;01.01.1958
;58;12056;"Glattfelden";"ZH";;
;59;12166;"Hochfelden";"ZH";;
;60;12220;"Höri";"ZH";;
;61;12178;"Hüntwangen";"ZH";;
;62;12673;"Kloten";"ZH";;
;63;12720;"Lufingen";"ZH";;
;64;12547;"Nürensdorf";"ZH";;
;65;12524;"Oberembrach";"ZH";;
;66;12483;"Opfikon";"ZH";;
;67;13090;"Rafz";"ZH";;
;68;12919;"Rorbas";"ZH";;
;69;10451;"Wallisellen";"ZH";;
;70;10443;"Wasterkingen";"ZH";;
;71;10268;"Wil";"ZH";;
;72;10331;"Winkel";"ZH";;
;81;11704;"Bachs";"ZH";;
;82;11786;"Boppelsen";"ZH";;
;83;11456;"Buchs";"ZH";;
;84;11578;"Dällikon";"ZH";;
;85;11581;"Dänikon";"ZH";;
;86;11567;"Dielsdorf";"ZH";;
;87;12181;"Hüttikon";"ZH";;
;88;12537;"Neerach";"ZH";;
;89;12534;"Niederglatt";"ZH";;
;90;12560;"Niederhasli";"ZH";;
;91;12568;"Niederweningen";"ZH";;
;92;12469;"Oberglatt";"ZH";;
;93;12447;"Oberweningen";"ZH";;
;94;13126;"Otelfingen";"ZH";;
;95;13166;"Regensberg";"ZH";;
;96;13168;"Regensdorf";"ZH";;
;97;12834;"Rümlang";"ZH";;
;98;13046;"Schleinikon";"ZH";;
;99;13037;"Schöfflisdorf";"ZH";;
;100;10383;"Stadel";"ZH";;
;101;10597;"Steinmaur";"ZH";;
;102;10448;"Weiach";"ZH";;
;111;11709;"Bäretswil";"ZH";;
;112;11478;"Bubikon";"ZH";;
;113;12159;"Dürnten";"ZH";;
;114;12002;"Fischenthal";"ZH";;
;115;12023;"Gossau";"ZH";;
;116;11970;"Grüningen";"ZH";;
;117;12156;"Hinwil";"ZH";;
;118;12883;"Rüti";"ZH";;
;119;12951;"Seegräben";"ZH";;
;120;10459;"Wald";"ZH";;
;121;10277;"Wetzikon";"ZH";;
;131;11745;"Adliswil";"ZH";;
31.12.2017;132;12160;"Hirzel";"ZH";295;
31.12.2017;133;12203;"Horgen";"ZH";295;
31.12.2018;134;12180;"Hütten";"ZH";293;
;135;12701;"Kilchberg";"ZH";;
;136;12637;"Langnau am Albis";"ZH";;
;137;12461;"Oberrieden";"ZH";;
;138;12907;"Richterswil";"ZH";;
;139;12832;"Rüschlikon";"ZH";;
31.12.2018;140;13020;"Schönenberg";"ZH";293;
;141;10691;"Thalwil";"ZH";;
31.12.2018;142;10455;"Wädenswil";"ZH";293;
;151;12301;"Erlenbach";"ZH";;
;152;12316;"Herrliberg";"ZH";;
;153;12143;"Hombrechtikon";"ZH";;
;154;12592;"Küsnacht";"ZH";;
;155;12754;"Männedorf";"ZH";;
;156;12408;"Meilen";"ZH";;
;157;12501;"Oetwil am See";"ZH";;
;158;10363;"Stäfa";"ZH";;
31.12.1976;159;11342;"Uetikon";"ZH";159;
;159;13259;"Uetikon am See";"ZH";;01.01.1977
;160;10326;"Zumikon";"ZH";;
;161;13683;"Zollikon";"ZH";;
31.12.2014;171;11699;"Bauma";"ZH";297;
;172;11989;"Fehraltorf";"ZH";;
;173;12161;"Hittnau";"ZH";;
31.12.1973;174;11208;"Illnau";"ZH";174;
31.12.2015;174;13235;"Illnau-Effretikon";"ZH";296;01.01.1974
31.12.2015;175;12605;"Kyburg";"ZH";296;
;176;12821;"Lindau";"ZH";;
;177;13137;"Pfäffikon";"ZH";;
;178;12831;"Russikon";"ZH";;
31.12.2014;179;10596;"Sternenberg";"ZH";297;
;180;10389;"Weisslingen";"ZH";;
;181;10242;"Wila";"ZH";;
;182;10334;"Wildberg";"ZH";;
;191;12205;"Dübendorf";"ZH";;
;192;12123;"Egg";"ZH";;
;193;12248;"Fällanden";"ZH";;
;194;12073;"Greifensee";"ZH";;
;195;12620;"Maur";"ZH";;
;196;12427;"Mönchaltorf";"ZH";;
;197;12956;"Schwerzenbach";"ZH";;
;198;10940;"Uster";"ZH";;
;199;10368;"Volketswil";"ZH";;
31.12.1975;200;11350;"Wangen";"ZH";200;
;200;13250;"Wangen-Brüttisellen";"ZH";;01.01.1976
;211;11777;"Altikon";"ZH";;
01.01.2014;212;11865;"Bertschikon";"ZH";298;
;213;11467;"Brütten";"ZH";;
;214;11574;"Dägerlen";"ZH";;
;215;11583;"Dättlikon";"ZH";;
;216;11565;"Dinhard";"ZH";;
31.12.2017;217;12148;"Elgg";"ZH";294;
;218;12144;"Ellikon an der Thur";"ZH";;
;219;12294;"Elsau";"ZH";;
;220;12001;"Hagenbuch";"ZH";;
;221;12283;"Hettlingen";"ZH";;
09.04.2000;222;12125;"Hofstetten bei Elgg";"ZH";222;
31.12.2017;222;14364;"Hofstetten";"ZH";294;10.04.2000
;223;15514;"Neftenbach";"ZH";;
;224;13145;"Pfungen";"ZH";;
;225;12889;"Rickenbach";"ZH";;
;226;14120;"Schlatt";"ZH";;
;227;12977;"Seuzach";"ZH";;
;228;10857;"Turbenthal";"ZH";;
01.01.2014;229;10279;"Wiesendangen";"ZH";298;
;230;10347;"Winterthur";"ZH";;
;231;10312;"Zell";"ZH";;
22.07.2000;241;13689;"Aesch bei Birmensdorf";"ZH";241;
;241;14365;"Aesch";"ZH";;23.07.2000
;242;13690;"Birmensdorf";"ZH";;
;243;13691;"Dietikon";"ZH";;
;244;13692;"Geroldswil";"ZH";;
;245;13693;"Oberengstringen";"ZH";;
;246;13694;"Oetwil an der Limmat";"ZH";;
;247;13695;"Schlieren";"ZH";;
;248;13696;"Uitikon";"ZH";;
;249;13697;"Unterengstringen";"ZH";;
;250;13698;"Urdorf";"ZH";;
;251;13699;"Weiningen";"ZH";;
;261;13688;"Zürich";"ZH";;
;292;16122;"Stammheim";"ZH";;01.01.2019
;293;16123;"Wädenswil";"ZH";;01.01.2019
;294;16081;"Elgg";"ZH";;01.01.2018
;295;16080;"Horgen";"ZH";;01.01.2018
;296;15671;"Illnau-Effretikon";"ZH";;01.01.2016
;297;15653;"Bauma";"ZH";;01.01.2015
;298;15631;"Wiesendangen";"ZH";;02.01.2014
;301;14995;"Aarberg";"BE";;
;302;14996;"Bargen";"BE";;
;303;14997;"Grossaffoltern";"BE";;
;304;16124;"Kallnach";"BE";;
;305;14999;"Kappelen";"BE";;
;306;15474;"Lyss";"BE";;
;307;15001;"Meikirch";"BE";;
31.12.2012;308;15002;"Niederried bei Kallnach";"BE";304;
;309;15003;"Radelfingen";"BE";;
;310;15672;"Rapperswil";"BE";;
;311;15005;"Schüpfen";"BE";;
;312;15006;"Seedorf";"BE";;
;321;15007;"Aarwangen";"BE";;
;322;15008;"Auswil";"BE";;
;323;15009;"Bannwil";"BE";;
;324;15010;"Bleienbach";"BE";;
;325;15011;"Busswil bei Melchnau";"BE";;
;326;15012;"Gondiswil";"BE";;
31.12.2006;327;11942;"Gutenburg";"BE";332;
31.12.2010;328;15013;"Kleindietwil";"BE";332;
;329;16606;"Langenthal";"BE";;
31.12.2010;330;15014;"Leimiswil";"BE";332;
;331;15015;"Lotzwil";"BE";;
;332;15475;"Madiswil";"BE";;
;333;15017;"Melchnau";"BE";;
31.12.2020;334;15018;"Obersteckholz";"BE";329;
;335;15019;"Oeschenbach";"BE";;
;336;15020;"Reisiswil";"BE";;
;337;15021;"Roggwil";"BE";;
;338;15022;"Rohrbach";"BE";;
;339;15023;"Rohrbachgraben";"BE";;
;340;15024;"Rütschelen";"BE";;
;341;15025;"Schwarzhäusern";"BE";;
;342;15026;"Thunstetten";"BE";;
31.12.2009;343;10948;"Untersteckholz";"BE";329;
;344;15027;"Ursenbach";"BE";;
;345;15028;"Wynau";"BE";;
;351;15029;"Bern";"BE";;
;352;15030;"Bolligen";"BE";;
;353;15031;"Bremgarten bei Bern";"BE";;
;354;15032;"Kirchlindach";"BE";;
;355;15033;"Köniz";"BE";;
;356;15034;"Muri bei Bern";"BE";;
;357;15035;"Oberbalm";"BE";;
;358;15036;"Stettlen";"BE";;
;359;15037;"Vechigen";"BE";;
;360;15038;"Wohlen bei Bern";"BE";;
;361;15039;"Zollikofen";"BE";;
;362;15040;"Ittigen";"BE";;01.01.1983
;363;15041;"Ostermundigen";"BE";;01.01.1983
;371;15042;"Biel/Bienne";"BE";;
;372;15043;"Evilard";"BE";;
;381;15044;"Arch";"BE";;
;382;15045;"Büetigen";"BE";;
;383;15046;"Büren an der Aare";"BE";;
31.12.2010;384;15047;"Busswil bei Büren";"BE";306;
;385;15048;"Diessbach bei Büren";"BE";;
;386;15049;"Dotzigen";"BE";;
;387;15050;"Lengnau";"BE";;
;388;15051;"Leuzigen";"BE";;
;389;15052;"Meienried";"BE";;
;390;15053;"Meinisberg";"BE";;
