TOKENS;HLS:COMMUNE;HLS:CANTON;NS1:PLACEOFORIGINNAME;NS1:CANTONABBREVIATION;COMMENT
475;Biel;BE;Biel/Bienne;BE;bilinguale Schreibung in locations.csv
381;Tablat;SG;St. Gallen;SG;Eingemeindung
278;Willisau Land;LU;Willisau;LU;Fusion
230;Willisau Stadt;LU;Willisau;LU;Fusion
158;Straubenzell;SG;St. Gallen;SG;Eingemeindung
148;Rotmonten;SG;St. Gallen;SG;Eingemeindung
105;Grub;SG;Grub SG;SG;Schreibung mit Kantonskürzel in locations.csv
101;Kappel (Toggenburg);SG;Ebnat-Kappel;SG;Fusion
97;Campo (Blenio);TI;Campo (Blenio);TI;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
82;Ebnat;SG;Ebnat-Kappel;SG;Fusion
53;Küssnacht am Rigi;SZ;Küssnacht am Rigi;SZ;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
52;Ennetbühl;SG;Ennetbühl;SG;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
46;Flums Dorf;SG;Flums;SG;Flums ist der Hauptort von Flums-Dorf 
40;Schinznach Dorf;AG;Schinznach Dorf;AG;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
36;Bré-Aldesago;TI;Aldesago;TI;"Bré-Aldesago mittlerweile zu Lugano; in locations.csv noch Brè und Aldesago einzeln, letzteres grösser"
34;Bichwil;SG;Bichwil;SG;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
34;Magdenau;SG;Degersheim;SG;Fusion
34;Vilters;SG;Vilters;SG;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
33;Brione (Verzasca);TI;Brione (Verzasca);TI;unklar, warum zuvor nicht gefunden. @NS1:PLACEOFORIGINNAME ist aus locations.csv kopiert
32;Flums Grossberg;SG;Flumserberg Tannenheim;SG;Tannenheim ist sehr wahrscheinlich der drei zugehörigen Orte
31;Laufen Stadt;BE;Laufen;BL;Kantonswechsel: heute BL
