HLS:ORIGIN;COMMENT
;Kein Herkunftsort angegeben
*;Kein Herkunftsort angegeben
ARMENIE;Kein Nachbarland der Schweiz
b;Kein Nachbarland der Schweiz
B;Kein Nachbarland der Schweiz
BG;Kein Nachbarland der Schweiz
CS;Kein Nachbarland der Schweiz
DK;Kein Nachbarland der Schweiz
E;Kein Nachbarland der Schweiz
FL;Kein Nachbarland der Schweiz
GB;Kein Nachbarland der Schweiz
GR;Kein Nachbarland der Schweiz
H;Kein Nachbarland der Schweiz
IRL;Kein Nachbarland der Schweiz
MEX;Kein Nachbarland der Schweiz
N;Kein Nachbarland der Schweiz
NL;Kein Nachbarland der Schweiz
PL;Kein Nachbarland der Schweiz
R;Kein Nachbarland der Schweiz
RI;Kein Nachbarland der Schweiz
RP;Kein Nachbarland der Schweiz
S;Kein Nachbarland der Schweiz
SF;Kein Nachbarland der Schweiz
SU;Kein Nachbarland der Schweiz
TR;Kein Nachbarland der Schweiz
USA;Kein Nachbarland der Schweiz
YU;Kein Nachbarland der Schweiz
