TOKENS;HLS:ORIGIN;NS1:PLACEOFORIGINNAME;NS1:CANTONABBREVIATION;COMMENT
5966;D;Deutschland;;
2153;F;France;;
999;I;Italia;;
423;A;Österreich;;
162;SAVOIE;France;;
33;Oberwinterthur ZH;Winterthur;ZH;
32;SAVOYEN;France;;
21;Biel BE;Biel/Bienne;BE;
20;Wülflingen ZH;Winterthur;ZH;
18;Schinznach Dorf AG;Schinznach Dorf;AG;
15;Seen ZH;Winterthur;ZH;
13;Tablat SG;St. Gallen;SG;
12;Aussersihl ZH;Zürich;ZH;
12;Hottingen ZH;Zürich;ZH;
11;Töss ZH;Winterthur;ZH;
11;Willisau Land LU;Willisau;LU;
11;Windlach ZH;Windlach;ZH;
11;Wipkingen ZH;Zürich;ZH;
10;Riesbach ZH;Zürich;ZH;
9;Wollishofen ZH;Zürich;ZH;
8;Enge ZH;Zürich;ZH;
8;Hirslanden ZH;Zürich;ZH;
8;Kappel [Toggenburg] SG;Ebnat-Kappel;SG;
8;Raat-Schüpfheim ZH;Stadel b. Niederglatt;ZH;
8;Wiedikon ZH;Zürich;ZH;
7;Fluntern ZH;Zürich;ZH;
7;Mülhausen [Elsass] F;France;;
6;Ebnat SG;Ebnat-Kappel;SG;
6;Hausen bei Brugg AG;Hausen AG;AG;
6;Herten TG;Frauenfeld;TG;
6;Kleinhüningen BS;Basel;BS;
6;Küssnacht am Rigi SZ;Küssnacht am Rigi;SZ;
6;Oberstrass ZH;Zürich;ZH;
5;Beinwil [Freiamt] AG;Beinwil (Freiamt);AG;
5;Benken-Biel BL;Biel-Benken BL;BL;
5;Büren NW;Büren NW;NW;
5;Emmishofen TG;Kreuzlingen;TG;
5;Frümsen SG;Frümsen;SG;
5;Guntalingen ZH;Guntalingen;ZH;
5;Horgenbach TG;Frauenfeld;TG;
5;Palfries SG;Mels;SG;
5;Riken AG;Riken AG;AG;
5;Saint-Aubin NE;Bevaix;NE;
5;Straubenzell SG;St. Gallen;SG;
4;Buchen im Prättigau GR;Buchen im Prättigau;SG;
4;Bümpliz BE;Bern;BE;
4;Chiavenna [Veltlin] I;Italia;;
4;La Chaux [Cossonay] VD;La Chaux (Cossonay);VD;
4;Lieli AG;Oberwil-Lieli;AG;
4;Nänikon ZH;Nänikon;ZH;
4;Saint-Saphorin [Lavaux] VD;St-Saphorin (Lavaux);VD;
4;Schachen LU;Schachen LU;LU;
4;Stein [Toggenburg] SG;Nesslau;SG;
4;Tennwil AG;Tennwil;AG;
4;Unterstrass ZH;Zürich;ZH;
3;Berg ob Maienfeld GR;Maienfeld;GR;
3;Fahrhof TG;Frauenfeld;TG;
3;Goldiwil BE;Goldiwil (Thun);BE;
3;Guntershausen b/Birwinken TG;Guntershausen b. Berg;TG;
3;Huben TG;Frauenfeld;TG;
3;Kurzrickenbach TG;Kreuzlingen;TG;
3;Latsch GR;Latsch;GR;
3;Medel [Lucmagn] GR;Curaglia;GR;
3;Rieden ZH;Wallisellen;ZH;
3;Rotmonten SG;St. Gallen;SG;
3;Rudolfingen ZH;Rudolfingen;ZH;
3;Rüthi [Rheintal] SG;Rüthi (Rheintal);SG;
3;Saint-Légier VD;St-Légier-La Chiésaz;VD;
3;Sax SG;Sax;SG;
3;Schottikon ZH;Elsau;ZH;
3;Tüscherz BE;Tüscherz-Alfermée;BE;
3;Ursern UR;Andermatt;UR;
3;Veltheim ZH;Winterthur;ZH;
3;Villette [Lavaux] VD;Villette (Lavaux);VD;
3;Weisstannen SG;Weisstannen;SG;
3;Willisau Stadt LU;Willisau;LU;
2;Bourg-Saint-Pierre VS;Bourg-St-Pierre;VS;
2;Brüttisellen ZH;Brüttisellen;ZH;
2;Chapelle [Glâne] FR;Chapelle (Glâne);FR;
2;Fischbach AG;Fischbach-Göslikon;AG;
2;Hattenhausen TG;Hattenhausen;TG;
2;Kurzdorf TG;Frauenfeld;TG;
2;Langdorf TG;Frauenfeld;TG;
2;Laufen Vorstadt BE;Laufen;BL;
2;Montet [Glâne] FR;Montet (Glâne);FR;
2;Nossikon ZH;Uster;ZH;
2;Oberhasli ZH;Oberhasli;ZH;
2;Piuro [Veltlin] I;Italia;;
2;Schachen bei Malters LU;Schachen LU;LU;
2;Schmitter SG;Diepoldsau;SG;
2;Stein <Toggenburg> SG;Nesslau;SG;
2;Tagelswangen ZH;Tagelswangen;ZH;
2;Unterhittnau ZH;Hittnau;ZH;
2;Vilars NE;Vilars NE;NE;
2;Vira [Gambarogno] TI;Vira (Gambarogno);TI;
2;Wangs SG;Wangs;SG;
2;Wiler [Lötschen] VS;Wiler (Lötschen);VS;
2;Wittwil AG;Wittwil;AG;
1;Alten ZH;Alten;ZH;
1;Anglikon AG;Anglikon;AG;
1;Baltenswil ZH;Bassersdorf;ZH;
1;Berbenno [Veltlin] I;Italia;;
1;Bernhardzell SG;Bernhardzell;SG;
1;Bickigen-Schwanden BE;Wynigen;BE;
1;Birchwil ZH;Nürensdorf;ZH;
1;Cavajone GR;Brusio;GR;
1;[Chiavenna] I;Italia;;
1;Crans-près Céligny VD;Crans-près-Céligny;VD;Abweichende Schreibweise in den HLS-Daten
1;Cutterwil FR;Belfaux;FR;
1;Dürstelen ZH;Hittnau;ZH;
1;Eschlikon ZH;Winterthur;ZH;
1;Flums Kleinberg SG;Flums-Kleinberg;SG;Abweichende Schreibweise in den HLS-Daten
1;Forel [Lavaux] VD;Forel (Lavaux);VD;
1;Gerra [Verzasca] TI;Gerra (Verzasca);TI;
1;Grasswil BE;Grasswil;BE;
1;Grub SG;Grub SG;SG;
1;Gundetswil ZH;Gundetswil;ZH;
1;Gütighausen ZH;Ossingen;ZH;
1;Haslen AI;Haslen AI;ZH;
1;Hegi ZH;Winterthur;ZH;
1;Hegnau ZH;Volketswil;ZH;
1;Iberg ZH;Winterthur;ZH;
1;Irgenhausen ZH;Pfäffikon ZH;ZH;
1;Isolato [Veltlin] I;Italia;;
1;Kempfhof AG;Würenlos;AG;
1;Kempten ZH;Wetzikon ZH;ZH;
1;Lamperswil TG;Lamperswil TG;TG;
1;Le Châtelard VD;Le Châtelard VS;VS;
1;Löwenburg JU;Pleigne;JU;
1;Magdenau SG;Wolfertswil;SG;
1;Marin NE;Marin-Epagnier;NE;
1;Maseltrangen SG;Maseltrangen;SG;
1;Mellstorf AG;Wislikofen;AG;
1;Montet [Broye] FR;Montet (Broye);FR;
1;Murg SG;Murg;SG;
1;Neschwil ZH;Neschwil;ZH;
1;Niederglatt SG;Niederglatt SG;SG;
1;Oberhausen ZH;Opfikon;ZH;
1;Oberwil bei Bassersdorf ZH;Nürensdorf;ZH;
1;Oerlingen ZH;Oerlingen;ZH;
1;Oetlikon AG;Würenlos;AG;
1;Pont [Veveyse] FR;Pont (Veveyse);FR;
1;Prato [Vallemaggia] TI;Prato-Sornico;TI;
1;Quinten SG;Quinten;SG;
1;Reiben BE;Büren an der Aare;BE;
1;Richensee LU;Hitzkirch;LU;
1;Rikon im Tösstal ZH;Rikon im Tösstal;ZH;
1;Robenhausen ZH;Wetzikon ZH;ZH;
1;Röthenbach b/Herzogenbuchsee BE;Röthenbach Herzogenbuchsee;BE;
1;Rüti bei Bülach ZH;Winkel;ZH;
1;Sâles [Gruyère] FR;Sâles (Gruyère);FR;
1;Sales [Sarine] FR;Ependes FR;FR;
1;Salez SG;Salez;SG;
1;Sellenbüren ZH;Stallikon;ZH;
1;Serneus GR;Serneus;GR;
1;Sondrio [Veltlin] I;Italia;;
1;St. Margrethen TG;St. Margarethen TG;TG;
1;Stugl/Stuls GR;Stugl/Stuls;GR;
1;Tann ZH;Tann;ZH;
1;Theilingen ZH;Theilingen;ZH;
1;Uerzlikon ZH;Uerzlikon;ZH;
1;Uhwiesen ZH;Uhwiesen;ZH;
1;Unterwetzikon ZH;Wetzikon ZH;ZH;
1;Valens SG;Valens;SG;
1;Vättis SG;Vättis;SG;
1;Vernéaz NE;Vaumarcus;NE;
1;Walenstadtberg SG;Walenstadtberg;SG;
1;Wavre NE;Wavre;NE;
1;Werd AG;Rottenschwil;AG;
1;Zweidlen ZH;Zweidlen;ZH;
