"Line number in raw-data/PLZO_CSV_LV95.csv";"Location";"Reason"
442;"Lyssach";"Duplicate of line 440 with errors in „Gemeindename“ and „BFS-Nr“?"
540;"Wilderswil";"Duplicate of line 565 with errors in „Gemeindename“ and „BFS-Nr“?"
1066;"Wollerau";"Duplicate of line 1068 with errors in „Gemeindename“ and „BFS-Nr“?"
1833;"Reute AR";"Duplicate of line 1786 with errors in „Gemeindename“ and „BFS-Nr“?"
1956;"Wil SG";"Duplicate of line 1998 with errors in „Gemeindename“ and „BFS-Nr“?"
1977;"Rickenbach b. Wil";"Duplicate of line 2713 with errors in „Gemeindename“ and „BFS-Nr“?"
2012;"Tiefencastel";"Duplicate of line 2016 with errors in „Gemeindename“ and „BFS-Nr“?"
2973;"Capolago";"Duplicate of line 3025 with errors in „Gemeindename“ and „BFS-Nr“?"
2976;"Taverne";"Duplicate of line 2990 with errors in „Gemeindename“ and „BFS-Nr“?"
3081;"Medeglia";"Not found in be-t-00.04-agv-01.csv, duplicate of line 3008 with errors in „Gemeindename“ and „BFS-Nr“?"
3991;"Genève";"Not relevant (airport of Genève)"
4072;"St-Ursanne";"Duplicate of line 4097 with errors in „Gemeindename“ and „BFS-Nr“?"
4114;"Vaduz";"Liechtenstein – not in scope"
4115;"Triesen";"Liechtenstein – not in scope"
4116;"Balzers";"Liechtenstein – not in scope"
4117;"Triesenberg";"Liechtenstein – not in scope"
4118;"Schaan";"Liechtenstein – not in scope"
4119;"Planken";"Liechtenstein – not in scope"
4120;"Eschen";"Liechtenstein – not in scope"
4121;"Eschen";"Liechtenstein – not in scope"
4122;"Mauren";"Liechtenstein – not in scope"
4123;"Mauren";"Liechtenstein – not in scope"
4124;"Gamprin";"Liechtenstein – not in scope"
4125;"Ruggell";"Liechtenstein – not in scope"
4126;"Schellenberg";"Liechtenstein – not in scope"
4127;"Thunersee";"Not relevant (lake)"
4128;"Brienzersee";"Not relevant (lake)"
4129;"Bielersee (BE)";"Not relevant (lake)"
