LOC:INFO;LOC:NAME;LOC:CANTON;NS1:PLACEOFORIGINNAME;NS1:CANTONABBREVIATION;NS1:PLACEOFORIGINID;NS1:SUCCESSORID;NS1:HISTORYMUNICIPALITYID;NS1:VALIDFROM;NS1:VALIDTO;COMMENT;EDITOR
MANUAL;Damvant;JU;Damvant (Haute-Ajoie);JU;7119;;;01.03.2016;;"""@LOC:NAME"" ist der einzige in Frage kommende Ort in locations.csv";LK
MANUAL;Brunnen;SZ;Ingenbohl;SZ;1364;;12657;;;"""@LOC:NAME"" ist der einzige in Frage kommende Ort in locations.csv";LK
MANUAL;Tumegl/Tomils;GR;Tomils;GR;3642;3642;;;31.12.1942;Alter offizieller Name von Tumegl/Tomils;RK
MANUAL;Tumegl/Tomils;GR;Domleschg (Tomils);GR;7441;;;01.01.2018;;Ehemalige Gemeinde Tomils nach der Fusion zu Domleschg. Siehe 3671/Tomils für die Begründung, warum die Tokens zu Tumegl/Tomils gezählt werden;RK
MANUAL;Mühlethurnen;BE;Thurnen;BE;889;;16128;01.01.2020;;Es gibt in locations.csv 3 Orte zu Thurnen, Mühlethurnen ist mit Abstand der grösste.;LK
MANUAL;Tumegl/Tomils;GR;Tomils;GR;3671;3673;14953;01.01.2009;31.12.2014;Fusionierte Gemeinde aus Tumegl/Tomils, Feldis/Veulden, Scheid und Trans. Tokens mit diesem Heimatort können nicht genau lokalisert werden und werden Tumegl/Tomils als grösstem Ort der Gemeinde zugeschlagen;RK
MANUAL;Avry-sur-Matran;FR;Avry;FR;2174;;14143;01.01.2001;;In eCH-0135 verweist die ns1:successorId = 2174 auf Avry-sur-Matran;LK
MANUAL;Flumserberg Portels;SG;Flums-Kleinberg;SG;7881;;;;;In locations.csv gibt es 7 Orte zur Gemeinde Flums. 2 gehören zu Flums-Kleinberg, Portels scheint davon der grössere Ort zu sein (Google Maps, swisstopo-App);LK
MANUAL;Flumserberg Tannenheim;SG;Flums-Grossberg;SG;7880;;;;;In locations.csv gibt es 7 Orte zur Gemeinde Flums. 3 gehören zu Flums-Grossberg, Tannenheim scheint davon der grösste Ort zu sein (Google Maps, swisstopo-App);LK
MANUAL;Flums;SG;Flums-Dorf;SG;7879;;;;;In locations.csv gibt es 7 Orte zur Gemeinde Flums.Flums-Hochwiese und Flums gehören zu Flums-Dorf, Flums ist der Hauptort (Internetrecherche und swisstopo-App);LK
MANUAL;St-Cergue;VD;Saint-Cergue;VD;5727;;14613;;;In locations.csv gibt es noch den zugehörigen Ort La Cure, aber dieser erscheint nicht in eCH-0135. Nach Wikipedia und Google Maps scheint St-Cergue der Hauptort zu sein.;LK
MANUAL;Le Mouret;FR;Le Mouret (Praroman);FR;7246;;;01.01.2017;;;
MANUAL;Uors (Lumnezia);GR;Lumnezia (Uors);GR;7430;;;01.01.2018;;;
MANUAL;Boécourt;JU;Boécourt-Séprais;JU;7909;;;;;;
MANUAL;Môtiers NE;NE;Môtiers (Val-de-Travers);NE;7943;;;01.01.2013;;;
MANUAL;St. Antönien;GR;Luzein (St. Antönien-Ascharina);GR;7346;;;01.01.2018;;beide Orte erhalten;
MANUAL;Muri b. Bern;BE;Muri bei Bern;BE;356;;15034;;;;
MANUAL;La Croix-de-Rozon;GE;Bardonnex;GE;6605;;11692;;;;
MANUAL;Schänis;SG;Schänis-Rüttiberg;SG;7898;;;;;;
MANUAL;Marly;FR;Marly (Marly-le-Petit);FR;7240;;;01.01.2017;;;
MANUAL;Bassecourt;JU;Haute-Sorne;JU;6729;;15624;01.01.2013;;grösste Gemeinde;
MANUAL;Thierrens;VD;Montanaire;VD;5693;;15616;01.01.2013;;grösste Gemeinde;
MANUAL;Langenthal;BE;Schoren;BE;7850;;;;;"""Schoren ist eine Ortschaft der Gemeinde Langenthal im Verwaltungskreis Oberaargau des Kantons Bern in der Schweiz. Am 1. Januar 1898 wurde die ehemalige Gemeinde mit der Gemeinde Langenthal fusioniert und ist seither mit Langenthal zusammengewachsen.""";
MANUAL;Pont (Veveyse);FR;Le Flon (Pont);FR;7311;;;01.01.2017;;;
MANUAL;Romont FR;FR;Romont (FR) (Les Glânes);FR;7176;;;01.01.2017;;;
MANUAL;Wergenstein;GR;Muntogna da Schons (Casti-Wergenstein);GR;7546;;;01.01.2021;;;
MANUAL;Wilen b. Wil;TG;Wilen;TG;4786;;15462;01.01.1998;;;
MANUAL;Marly;FR;Marly (Marly-le-Grand);FR;7239;;;01.01.2017;;;
MANUAL;Bussy-Chardonney;VD;Hautemorges (Bussy-Chardonney, Bussy-sur-Morges);VD;7573;;;01.07.2021;;;
MANUAL;Obersaxen;GR;Obersaxen Mundaun (Mundaun);GR;7400;;;01.01.2018;;;
MANUAL;Matten b. Interlaken;BE;Matten bei Interlaken;BE;587;;15159;;;;
MANUAL;Collex;GE;Collex-Bossy;GE;6615;;11595;;;;
