"Line number in raw-data/historische_familiennnamen.csv";"Name";"Canton";"Commune";"Reason"
26902;"Bugada";"GR";"Lostallo";"Invalid „CATEG“ entry"
40425;"de Muller";"FR";"Fribourg";"Invalid „CATEG“ entry"
81045;"Hermann";"GR";"Poschiavo";"Invalid „CATEG“ entry"
150238;"Rey";"GE";"Versoix";"Invalid „CATEG“ entry"
194501;"von Erlach";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
194502;"von Erlach";"NE";"Neuchâtel";"Duplicate entry in historische_familiennamen.csv"
211462;"von Aarburg";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211463;"von Aarburg";"LU";"Triengen";"Duplicate entry in historische_familiennamen.csv"
211464;"von Aarburg";"SG";"Kaltbrunn";"Duplicate entry in historische_familiennamen.csv"
211465;"von Adelsheim-von Ernst";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211466;"von Aesch";"BE";"Grossaffoltern";"Duplicate entry in historische_familiennamen.csv"
211467;"von Aesch";"NE";"Cernier";"Duplicate entry in historische_familiennamen.csv"
211468;"von Aesch";"NE";"Fontaines";"Duplicate entry in historische_familiennamen.csv"
211469;"von Aesch";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211470;"von Ah";"OW";"Giswil";"Duplicate entry in historische_familiennamen.csv"
211471;"von Ah";"OW";"Sachseln";"Duplicate entry in historische_familiennamen.csv"
211472;"von Ah";"OW";"Sarnen";"Duplicate entry in historische_familiennamen.csv"
211473;"von Ah";"ZH";"Hombrechtikon";"Duplicate entry in historische_familiennamen.csv"
211474;"von Ah";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211475;"von Albertis";"SG";"Rorschach";"Duplicate entry in historische_familiennamen.csv"
211476;"von Allmen";"BE";"Beatenberg";"Duplicate entry in historische_familiennamen.csv"
211477;"von Allmen";"BE";"Gadmen";"Duplicate entry in historische_familiennamen.csv"
211478;"von Allmen";"BE";"Heimiswil";"Duplicate entry in historische_familiennamen.csv"
211479;"von Allmen";"BE";"Lauterbrunnen";"Duplicate entry in historische_familiennamen.csv"
211480;"von Allmen";"BE";"Saanen";"Duplicate entry in historische_familiennamen.csv"
211481;"von Allmen";"BE";"Unterseen";"Duplicate entry in historische_familiennamen.csv"
211482;"von Allmen";"BE";"Wilderswil";"Duplicate entry in historische_familiennamen.csv"
211483;"von Allmen";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211484;"von Allmen";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211485;"von Allmen";"GE";"Carouge";"Duplicate entry in historische_familiennamen.csv"
211486;"von Allmen";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
211487;"von Allmen";"NE";"Boudevilliers";"Duplicate entry in historische_familiennamen.csv"
211488;"von Allmen";"NE";"Gorgier";"Duplicate entry in historische_familiennamen.csv"
211489;"von Allmen";"NE";"La Chaux-de-Fonds";"Duplicate entry in historische_familiennamen.csv"
211490;"von Allmen";"NE";"Peseux";"Duplicate entry in historische_familiennamen.csv"
211491;"von Allmen";"SO";"Egerkingen";"Duplicate entry in historische_familiennamen.csv"
211492;"von Allmen";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211493;"von Allmen";"VD";"Lausanne";"Duplicate entry in historische_familiennamen.csv"
211494;"von Allmen";"ZH";"Neftenbach";"Duplicate entry in historische_familiennamen.csv"
211495;"von Allmen";"ZH";"Winterthur";"Duplicate entry in historische_familiennamen.csv"
211496;"von Allmen";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211497;"von Alten";"AG";"Laufenburg";"Duplicate entry in historische_familiennamen.csv"
211498;"von Alten";"BE";"Thun";"Duplicate entry in historische_familiennamen.csv"
211499;"von Alvensleben";"TI";"Cureggia";"Duplicate entry in historische_familiennamen.csv"
211500;"von Alvensleben";"TI";"Torricella-Taverne";"Duplicate entry in historische_familiennamen.csv"
211501;"von Anacker";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211502;"von Angern";"SO";"Horriwil";"Duplicate entry in historische_familiennamen.csv"
211503;"von Arb";"BE";"Grossaffoltern";"Duplicate entry in historische_familiennamen.csv"
211504;"von Arb";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211505;"von Arb";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
211506;"von Arb";"SO";"Derendingen";"Duplicate entry in historische_familiennamen.csv"
211507;"von Arb";"SO";"Härkingen";"Duplicate entry in historische_familiennamen.csv"
211508;"von Arb";"SO";"Neuendorf";"Duplicate entry in historische_familiennamen.csv"
211509;"von Arb";"SO";"Wolfwil";"Duplicate entry in historische_familiennamen.csv"
211510;"von Arb";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211511;"von Arx";"AG";"Küttigen";"Duplicate entry in historische_familiennamen.csv"
211512;"von Arx";"BE";"Burgdorf";"Duplicate entry in historische_familiennamen.csv"
211513;"von Arx";"BE";"Melchnau";"Duplicate entry in historische_familiennamen.csv"
211514;"von Arx";"BE";"Seedorf";"Duplicate entry in historische_familiennamen.csv"
211515;"von Arx";"BE";"Utzenstorf";"Duplicate entry in historische_familiennamen.csv"
211516;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211517;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211518;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211519;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211520;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211521;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211522;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211523;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211524;"von Arx";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211525;"von Arx";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
211526;"von Arx";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
211527;"von Arx";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
211528;"von Arx";"GE";"Lancy";"Duplicate entry in historische_familiennamen.csv"
211529;"von Arx";"GL";"Glarus";"Duplicate entry in historische_familiennamen.csv"
211530;"von Arx";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
211531;"von Arx";"NE";"Peseux";"Duplicate entry in historische_familiennamen.csv"
211532;"von Arx";"SO";"Dornach";"Duplicate entry in historische_familiennamen.csv"
211533;"von Arx";"SO";"Dulliken";"Duplicate entry in historische_familiennamen.csv"
211534;"von Arx";"SO";"Egerkingen";"Duplicate entry in historische_familiennamen.csv"
211535;"von Arx";"SO";"Gunzgen";"Duplicate entry in historische_familiennamen.csv"
211536;"von Arx";"SO";"Horriwil";"Duplicate entry in historische_familiennamen.csv"
211537;"von Arx";"SO";"Härkingen";"Duplicate entry in historische_familiennamen.csv"
211538;"von Arx";"SO";"Härkingen";"Duplicate entry in historische_familiennamen.csv"
211539;"von Arx";"SO";"Kestenholz";"Duplicate entry in historische_familiennamen.csv"
211540;"von Arx";"SO";"Kestenholz";"Duplicate entry in historische_familiennamen.csv"
211541;"von Arx";"SO";"Neuendorf";"Duplicate entry in historische_familiennamen.csv"
211542;"von Arx";"SO";"Neuendorf";"Duplicate entry in historische_familiennamen.csv"
211543;"von Arx";"SO";"Niederbuchsiten";"Duplicate entry in historische_familiennamen.csv"
211544;"von Arx";"SO";"Niedererlinsbach";"Duplicate entry in historische_familiennamen.csv"
211545;"von Arx";"SO";"Niedergösgen";"Duplicate entry in historische_familiennamen.csv"
211546;"von Arx";"SO";"Oberbuchsiten";"Duplicate entry in historische_familiennamen.csv"
211547;"von Arx";"SO";"Obererlinsbach";"Duplicate entry in historische_familiennamen.csv"
211548;"von Arx";"SO";"Obergösgen";"Duplicate entry in historische_familiennamen.csv"
211549;"von Arx";"SO";"Oensingen";"Duplicate entry in historische_familiennamen.csv"
211550;"von Arx";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
211551;"von Arx";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
211552;"von Arx";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
211553;"von Arx";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
211554;"von Arx";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
211555;"von Arx";"SO";"Riedholz";"Duplicate entry in historische_familiennamen.csv"
211556;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211557;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211558;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211559;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211560;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211561;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211562;"von Arx";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
211563;"von Arx";"SO";"Stüsslingen";"Duplicate entry in historische_familiennamen.csv"
211564;"von Arx";"SO";"Walterswil";"Duplicate entry in historische_familiennamen.csv"
211565;"von Arx";"SO";"Wangen bei Olten";"Duplicate entry in historische_familiennamen.csv"
211566;"von Arx";"SO";"Wangen bei Olten";"Duplicate entry in historische_familiennamen.csv"
211567;"von Arx";"SO";"Winznau";"Duplicate entry in historische_familiennamen.csv"
211568;"von Arx";"SO";"Wisen";"Duplicate entry in historische_familiennamen.csv"
211569;"von Arx";"SO";"Wolfwil";"Duplicate entry in historische_familiennamen.csv"
211570;"von Arx";"SO";"Wolfwil";"Duplicate entry in historische_familiennamen.csv"
211571;"von Arx";"SO";"Zullwil";"Duplicate entry in historische_familiennamen.csv"
